"id","bias.correction","Without UDSA (Multiple Dilutions)","With UDSA (Single Dilution)","With UDSA (Multiple Dilutions)"
"C1","MLE","$ 0.05$ $( 0.02,  0.12)$","$ 0.14$ $( 0.05,  0.39)$","$ 0.13$ $( 0.05,  0.36)$"
"C1","BC-MLE","$ 0.04$ $( 0.02,  0.12)$","$ 0.16$ $( 0.07,  0.39)$","$ 0.15$ $( 0.07,  0.37)$"
"C2","MLE","$ 0.07$ $( 0.03,  0.15)$","$ 0.17$ $( 0.07,  0.41)$","$ 0.18$ $( 0.08,  0.39)$"
"C2","BC-MLE","$ 0.07$ $( 0.03,  0.15)$","$ 0.19$ $( 0.09,  0.41)$","$ 0.19$ $( 0.09,  0.40)$"
"C3","MLE","$ 0.12$ $( 0.05,  0.29)$","$ 0.12$ $( 0.02,  0.67)$","$ 0.11$ $( 0.02,  0.54)$"
"C3","BC-MLE","$ 0.12$ $( 0.05,  0.29)$","$ 0.18$ $( 0.06,  0.55)$","$ 0.14$ $( 0.04,  0.48)$"
"C4","MLE","$ 0.14$ $( 0.06,  0.32)$","$ 0.12$ $( 0.04,  0.36)$","$ 0.14$ $( 0.05,  0.35)$"
"C4","BC-MLE","$ 0.14$ $( 0.06,  0.32)$","$ 0.11$ $( 0.04,  0.36)$","$ 0.13$ $( 0.05,  0.35)$"
"C5","MLE","$ 0.15$ $( 0.06,  0.36)$","$ 0.20$ $( 0.07,  0.54)$","$ 0.20$ $( 0.08,  0.51)$"
"C5","BC-MLE","$ 0.14$ $( 0.06,  0.36)$","$ 0.19$ $( 0.07,  0.54)$","$ 0.20$ $( 0.08,  0.51)$"
"C6","MLE","$ 0.18$ $( 0.08,  0.38)$","$ 0.34$ $( 0.18,  0.66)$","$ 0.31$ $( 0.16,  0.60)$"
"C6","BC-MLE","$ 0.17$ $( 0.08,  0.37)$","$ 0.34$ $( 0.18,  0.66)$","$ 0.31$ $( 0.16,  0.60)$"
"C7","MLE","$ 0.22$ $( 0.13,  0.36)$","$ 0.64$ $( 0.48,  0.86)$","$ 0.63$ $( 0.47,  0.84)$"
"C7","BC-MLE","$ 0.22$ $( 0.13,  0.36)$","$ 0.64$ $( 0.47,  0.85)$","$ 0.63$ $( 0.47,  0.84)$"
"C8","MLE","$ 0.41$ $( 0.27,  0.62)$","$ 1.06$ $( 0.85,  1.32)$","$ 1.06$ $( 0.85,  1.31)$"
"C8","BC-MLE","$ 0.40$ $( 0.26,  0.61)$","$ 1.04$ $( 0.84,  1.31)$","$ 1.05$ $( 0.84,  1.30)$"
"C9","MLE","$ 0.44$ $( 0.22,  0.87)$","$ 0.60$ $( 0.36,  0.99)$","$ 0.51$ $( 0.31,  0.86)$"
"C9","BC-MLE","$ 0.42$ $( 0.20,  0.86)$","$ 0.58$ $( 0.34,  0.98)$","$ 0.51$ $( 0.30,  0.86)$"
"C10","MLE","$ 0.54$ $( 0.32,  0.91)$","$ 0.73$ $( 0.52,  1.04)$","$ 0.79$ $( 0.57,  1.09)$"
"C10","BC-MLE","$ 0.52$ $( 0.30,  0.89)$","$ 0.72$ $( 0.50,  1.02)$","$ 0.78$ $( 0.57,  1.08)$"
"C11","MLE","$ 0.62$ $( 0.34,  1.14)$","$ 0.89$ $( 0.58,  1.35)$","$ 0.88$ $( 0.60,  1.32)$"
"C11","BC-MLE","$ 0.58$ $( 0.30,  1.11)$","$ 0.85$ $( 0.54,  1.31)$","$ 0.86$ $( 0.57,  1.29)$"
"C12","MLE","$ 0.94$ $( 0.63,  1.39)$","$ 1.42$ $( 1.18,  1.69)$","$ 1.42$ $( 1.19,  1.69)$"
"C12","BC-MLE","$ 0.90$ $( 0.59,  1.36)$","$ 1.40$ $( 1.17,  1.68)$","$ 1.41$ $( 1.19,  1.69)$"
"C13","MLE","$ 1.24$ $( 0.74,  2.08)$","$ 2.55$ $( 1.07,  6.12)$","$ 1.41$ $( 0.75,  2.63)$"
"C13","BC-MLE","$ 1.12$ $( 0.63,  1.99)$","$ 2.48$ $( 1.01,  6.10)$","$22.27$ $(21.41, 23.17)$"
"C14","MLE","$ 1.82$ $( 0.90,  3.66)$","$ 2.12$ $( 0.70,  6.41)$","$ 2.20$ $( 1.03,  4.70)$"
"C14","BC-MLE","$ 1.54$ $( 0.67,  3.52)$","$ 2.14$ $( 0.72,  6.40)$","$11.03$ $( 9.48, 12.83)$"
"C15","MLE","$ 2.49$ $( 1.10,  5.62)$","$ 3.66$ $( 1.77,  7.55)$","$ 2.95$ $( 1.47,  5.94)$"
"C15","BC-MLE","$ 2.08$ $( 0.79,  5.52)$","$ 3.38$ $( 1.54,  7.40)$","$28.98$ $(26.99, 31.12)$"
"C16","MLE","$ 2.52$ $( 1.16,  5.46)$","$ 2.92$ $( 1.32,  6.44)$","$ 2.97$ $( 1.52,  5.79)$"
"C16","BC-MLE","$ 2.18$ $( 0.89,  5.33)$","$ 2.78$ $( 1.21,  6.38)$","$27.49$ $(25.58, 29.55)$"
"C17","MLE","$ 3.49$ $( 1.69,  7.20)$","$ 2.19$ $( 0.82,  5.84)$","$ 3.03$ $( 1.56,  5.88)$"
"C17","BC-MLE","$ 3.08$ $( 1.36,  7.00)$","$ 2.19$ $( 0.82,  5.84)$","$27.21$ $(25.28, 29.30)$"
