"id","lrt_stat","lrt_pval","mle","mle_bc","mle_negbin"
"C1","0",1,"0.129948248828278","0.128631292931752","0.129948248828278"
"C2","0.173684527482692",0.33842889909212,"0.177730595562856","0.175340527884717","0.315204343370385"
"C3","0",1,"0.106793894840494","0.103631215490076","0.106793894840494"
"C4","0.411725760216569",0.260547437401972,"0.135033799641038","0.125940255063189","0.349598569211517"
"C5","0.49224579839214",0.241463605988099,"0.203493796887543","0.189657812265752","0.863266736871323"
"C6","0",1,"0.31411994704337","0.301461520712688","0.31411994704337"
"C7","0",1,"0.626599855640499","0.619216139635831","0.626599855640499"
"C8","0",1,"1.05671326049263","1.04145391327253","1.05671326049263"
"C9","0",1,"0.514711559160583","0.484198748912147","0.514711559160583"
"C10","1.4392739663148",0.115128432300858,"0.791195284951031","0.751438773894477","1.96862466880252"
"C11","0.0426959217538183",0.418149447829557,"0.884818940136688","0.825805032148068","1.04555060538931"
"C12","0.00174371633283954",0.483345876386884,"1.41840846144457","1.40027561419749","1.42623841452168"
"C13","7.4689930965386",0.00313853242770899,"1.40556997036698","1.19481997175693","6.17858942781744"
"C14","0",1,"2.20256803206909","1.73270126013828","2.20256803206909"
"C15","0",1,"2.95252055670772","2.62093102108086","2.95252055670772"
"C16","0",1,"2.96793433695513","2.70352163350405","2.96793433695513"
"C17","0.482525918548276",0.24364020079772,"3.03365307731377","2.73973532757658","4.67884333389863"
